Unnamed: 0,Hauptdiagnose,Ausland-unbekannt-ohne Angabe,Population,Demand_per_1000
344,G61,38,2876.0,13.21279554937413
345,G62,79,5168.0,15.286377708978328
346,G70,27,934.0,28.907922912205567
347,G71,2,249.0,8.032128514056224
348,G72,8,410.0,19.51219512195122
349,G80,15,272.0,55.14705882352941
350,G81,22,449.0,48.99777282850779
351,G82,29,1540.0,18.83116883116883
352,G83,22,602.0,36.544850498338874
353,G90,24,483.0,49.689440993788814
354,G91,24,1700.0,14.11764705882353
355,G92,1,32.0,31.25
356,G93,61,2096.0,29.103053435114504
357,G95,13,630.0,20.634920634920636
358,G96,15,246.0,60.97560975609756
359,G97,11,293.0,37.54266211604096
360,H00,8,217.0,36.866359447004605
361,H01,2,42.0,47.61904761904761
362,H02,44,1356.0,32.448377581120944
363,H04,32,806.0,39.702233250620345
364,H05,10,224.0,44.642857142857146
365,H10,1,89.0,11.235955056179774
366,H11,2,438.0,4.5662100456621
367,H15,1,71.0,14.084507042253522
368,H16,46,1674.0,27.479091995221026
369,H17,6,112.0,53.57142857142857
370,H18,47,1206.0,38.97180762852405
371,H20,17,605.0,28.09917355371901
372,H21,4,143.0,27.972027972027973
373,H25,65,12759.0,5.094443138176973
374,H26,28,2652.0,10.558069381598793
375,H27,17,600.0,28.333333333333332
376,H30,2,200.0,10.0
377,H33,212,4864.0,43.58552631578947
378,H34,19,1607.0,11.823273179838207
379,H35,95,4652.0,20.4213241616509
380,H40,180,11528.0,15.614156835530881
381,H43,22,1153.0,19.080659150043367
382,H44,25,575.0,43.47826086956522
383,H46,10,472.0,21.1864406779661
384,H47,10,1220.0,8.196721311475411
385,H49,22,698.0,31.51862464183381
386,H50,19,912.0,20.833333333333332
387,H51,1,63.0,15.873015873015872
388,H53,18,990.0,18.18181818181818
389,H54,4,100.0,40.0
390,H55,1,67.0,14.925373134328359
391,H57,5,135.0,37.03703703703704
392,H59,2,124.0,16.129032258064516
393,H60,18,633.0,28.43601895734597
394,H61,6,752.0,7.978723404255319
395,H65,12,717.0,16.736401673640167
396,H66,24,1656.0,14.492753623188406
397,H68,1,68.0,14.705882352941176
398,H69,7,135.0,51.85185185185185
399,H70,7,301.0,23.25581395348837
400,H71,20,1009.0,19.821605550049554
401,H72,7,278.0,25.179856115107913
402,H73,1,27.0,37.03703703703704
403,H74,4,269.0,14.869888475836431
404,H80,15,387.0,38.75968992248062
405,H81,292,9484.0,30.788696752425135
406,H83,4,170.0,23.52941176470588
407,H90,11,1126.0,9.769094138543517
408,H91,24,2224.0,10.79136690647482
409,H92,1,29.0,34.48275862068965
410,H93,13,402.0,32.33830845771144
411,H95,6,174.0,34.48275862068965
412,I00,1,19.0,52.63157894736842
413,I05,2,56.0,35.714285714285715
414,I07,2,106.0,18.867924528301884
415,I08,1,104.0,9.615384615384617
416,I10,671,24580.0,27.298616761594793
417,I11,121,8288.0,14.59942084942085
418,I13,5,348.0,14.367816091954023
419,I15,2,143.0,13.986013986013987
420,I20,748,29507.0,25.349916968854846
421,I21,1381,32346.0,42.694614480925
422,I22,1,39.0,25.64102564102564
423,I23,2,29.0,68.9655172413793
424,I24,4,266.0,15.037593984962406
425,I25,507,26786.0,18.927798103486897
426,I26,252,9528.0,26.448362720403022
427,I27,18,1310.0,13.740458015267174
428,I28,12,44.0,272.7272727272727
429,I30,14,405.0,34.5679012345679
430,I31,36,1080.0,33.333333333333336
431,I33,46,1755.0,26.21082621082621
432,I34,69,3427.0,20.13422818791946
433,I35,147,11473.0,12.812690665039659
434,I36,6,846.0,7.092198581560283
435,I37,22,29.0,758.6206896551723
436,I38,4,135.0,29.62962962962963
437,I40,26,624.0,41.666666666666664
438,I42,89,3389.0,26.26143405134258
439,I44,82,5980.0,13.7123745819398
440,I45,22,917.0,23.991275899672846
441,I46,71,936.0,75.85470085470085
442,I47,208,8040.0,25.870646766169152
443,I48,866,49924.0,17.34636647704511
444,I49,159,7998.0,19.879969992498125
445,I50,817,86413.0,9.454595951997963
446,I51,19,885.0,21.468926553672315
447,I60,78,1359.0,57.39514348785872
448,I61,194,5612.0,34.5687811831789
449,I62,26,1486.0,17.496635262449526
450,I63,1107,42479.0,26.05993549753996
451,I64,5,452.0,11.061946902654867
452,I65,60,4240.0,14.150943396226415
453,I66,3,88.0,34.090909090909086
454,I67,69,3101.0,22.250886810706227
455,I70,278,33083.0,8.403107336094065
456,I71,123,4231.0,29.07114157409596
457,I72,34,1881.0,18.075491759702285
458,I73,11,427.0,25.76112412177986
459,I74,57,2820.0,20.21276595744681
460,I77,21,1365.0,15.384615384615385
461,I78,2,169.0,11.834319526627219
462,I80,78,3330.0,23.423423423423422
