Unnamed: 0,Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,latitude,longitude
333,,,11009,Berlin-Treptow-Köpenick,,52.4179881,13.6264026
334,,,11010,Berlin-Marzahn-Hellersdorf,,52.522464,13.5853838
335,,,11011,Berlin-Lichtenberg,,52.5097832,13.4961404
336,,,11012,Berlin-Reinickendorf,,52.6048469,13.2881415
337,40.0,20211231.0,12051,"Brandenburg an der Havel, Stadt",Brandenburg an der Havel,52.442937,12.5284372
338,40.0,20211231.0,12052,"Cottbus, Stadt",Cottbus,51.7512991,14.3223077
339,40.0,20211231.0,12053,"Frankfurt (Oder), Stadt",Frankfurt (Oder),52.3365359,14.5466945
340,40.0,20211231.0,12054,"Potsdam, Stadt",Potsdam,52.4014435,13.0087916
341,40.0,20211231.0,12060,Barnim,Eberswalde,52.8019321,13.6771933
342,40.0,20211231.0,12061,Dahme-Spreewald,Lübben(Spreewald),52.0739107,13.8668655
343,40.0,20211231.0,12062,Elbe-Elster,Herzberg/Elster,51.6271759,13.4805453
344,40.0,20211231.0,12063,Havelland,Rathenow,52.6244437,12.6847264
345,40.0,20211231.0,12064,Märkisch-Oderland,Seelow,52.6387335,14.178299
346,40.0,20211231.0,12065,Oberhavel,Oranienburg,52.918881,13.2279803
347,40.0,20211231.0,12066,Oberspreewald-Lausitz,Senftenberg,51.6309052,14.0339298
348,40.0,20211231.0,12067,Oder-Spree,Beeskow,52.2504354,14.2685781
349,40.0,20211231.0,12068,Ostprignitz-Ruppin,Neuruppin,53.0010645,12.703367
350,40.0,20211231.0,12069,Potsdam-Mittelmark,Bad Belzig,52.2682985,12.7013596
351,40.0,20211231.0,12070,Prignitz,Perleberg,53.12352,11.9019357
352,40.0,20211231.0,12071,Spree-Neiße,Forst(Lausitz),51.7813957,14.1970946
353,40.0,20211231.0,12072,Teltow-Fläming,Luckenwalde,52.1010266,13.2652656
354,40.0,20211231.0,12073,Uckermark,Prenzlau,53.245263,13.9151351
355,40.0,20211231.0,13003,Rostock,Rostock,54.0886707,12.1400211
356,40.0,20211231.0,13004,Schwerin,Schwerin,53.6288297,11.4148038
357,40.0,20211231.0,13071,Mecklenburgische Seenplatte,Neubrandenburg,53.5838993,13.0638679
358,40.0,20211231.0,13072,Landkreis Rostock,Güstrow,53.9210675,12.2937049
359,40.0,20211231.0,13073,Vorpommern-Rügen,Stralsund,54.2288755,12.8131533
360,40.0,20211231.0,13074,Nordwestmecklenburg,Wismar,53.8002812,11.2879208
361,40.0,20211231.0,13075,Vorpommern-Greifswald,Greifswald,53.7245862,13.8981847
362,40.0,20211231.0,13076,Ludwigslust-Parchim,Parchim,53.454421,11.4828447
363,40.0,20211231.0,14511,"Chemnitz, Stadt",Chemnitz,50.8179277,12.9171685
364,40.0,20211231.0,14521,Erzgebirgskreis,Annaberg-Buchholz,50.6018498,12.9567835
365,40.0,20211231.0,14522,Mittelsachsen,Freiberg,50.9348991,13.0428111
366,40.0,20211231.0,14523,Vogtlandkreis,Plauen,50.4240551,12.2524349
