Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,Unnamed: 5
40.0,20221231.0,6534,Marburg-Biedenkopf,Marburg,
40.0,20221231.0,6535,Vogelsbergkreis,Lauterbach,
40.0,20221231.0,6611,"Kassel, documenta-Stadt",Kassel,
40.0,20221231.0,6631,Fulda,Fulda,
40.0,20221231.0,6632,Hersfeld-Rotenburg,Bad Hersfeld,
40.0,20221231.0,6633,"Kassel, Kreis",Kassel,1.0
40.0,20221231.0,6634,Schwalm-Eder-Kreis,Homberg (Efze),
40.0,20221231.0,6635,Waldeck-Frankenberg,Korbach,
40.0,20221231.0,6636,Werra-Meißner-Kreis,Eschwege,
40.0,20221231.0,7111,"Koblenz, kreisfreie Stadt",Koblenz,
40.0,20221231.0,7131,Ahrweiler,Bad Neuenahr-Ahrweiler,
40.0,20221231.0,7132,Altenkirchen (Westerwald),Altenkirchen (Westerwald),
40.0,20221231.0,7133,Bad Kreuznach,Bad Kreuznach,
40.0,20221231.0,7134,Birkenfeld,Birkenfeld,
40.0,20221231.0,7135,Cochem-Zell,Cochem,
40.0,20221231.0,7137,Mayen-Koblenz,Koblenz,
40.0,20221231.0,7138,Neuwied,Neuwied,
40.0,20221231.0,7140,Rhein-Hunsrück-Kreis,Simmern/Hunsrück,
40.0,20221231.0,7141,Rhein-Lahn-Kreis,Bad Ems,
40.0,20221231.0,7143,Westerwaldkreis,Montabaur,
40.0,20221231.0,7211,"Trier, kreisfreie Stadt",Trier,
40.0,20221231.0,7231,Bernkastel-Wittlich,Wittlich,
40.0,20221231.0,7232,Eifelkreis Bitburg-Prüm,Bitburg,
40.0,20221231.0,7233,Vulkaneifel,Daun,
40.0,20221231.0,7235,Trier-Saarburg,Trier,
40.0,20221231.0,7311,"Frankenthal (Pfalz), kreisfreie Stadt",Frankenthal (Pfalz),
40.0,20221231.0,7312,"Kaiserslautern, kreisfreie Stadt",Kaiserslautern,
40.0,20221231.0,7313,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz,
40.0,20221231.0,7314,"Ludwigshafen am Rhein, kreisfreie Stadt",Ludwigshafen am Rhein,
40.0,20221231.0,7315,"Mainz, kreisfreie Stadt",Mainz,
40.0,20221231.0,7316,"Neustadt an der Weinstraße, kreisfreie Stadt",Neustadt an der Weinstraße,
40.0,20221231.0,7317,"Pirmasens, kreisfreie Stadt",Pirmasens,
40.0,20221231.0,7318,"Speyer, kreisfreie Stadt",Speyer,
40.0,20221231.0,7319,"Worms, kreisfreie Stadt",Worms,
40.0,20221231.0,7320,"Zweibrücken, kreisfreie Stadt",Zweibrücken,
40.0,20221231.0,7331,Alzey-Worms,Alzey,
40.0,20221231.0,7332,Bad Dürkheim,Bad Dürkheim,
